RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.5,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.8,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
RPM,MAP,Coolant Temp,AFR,Target AFR,Lambda,Lambda Target,AFR Trim %,AFR Learn %,Idle Fuel Learn,Fans On,TPS,Fuel PW,Inject Duty%,MAP Fueled,Transient Fuel,Target RPM,IAC Steps,Idle PID,Fuel Pump,Fuel Flowrate,Air Temp,Cylinder Temp,Battery,BARO,WBO2 Temp,Warmup%,Startup%,Run Rev,Run State,Fault1,Fault2,Fault3,Save Fault,Save Fault,Gear State,vehicle speed,
0,101.5,84,14.7,12.31,100.22,83.74,0.0,0.0,64.8,0,0.0,7.59,0.0,101.50,0.00,1010,225,0,0,0.00,82,84,12.40,101.5,39,0.0,100.0,0,Stall,0,0,0,55,0,0,0,
